Operating Airline_,total_passengers,avg_passengers,median_passengers,Airline_count,International_A,International_G,Other_Other,Terminal 1_A,Terminal 1_B,Terminal 1_C,Terminal 2_D,Terminal 3_E,Terminal 3_F,2005_Fall,2005_Summer,2005_Winter,2006_Fall,2006_Spring,2006_Summer,2006_Winter,2007_Fall,2007_Spring,2007_Summer,2007_Winter,2008_Fall,2008_Spring,2008_Summer,2008_Winter,2009_Fall,2009_Spring,2009_Summer,2009_Winter,2010_Fall,2010_Spring,2010_Summer,2010_Winter,2011_Fall,2011_Spring,2011_Summer,2011_Winter,2012_Fall,2012_Spring,2012_Summer,2012_Winter,2013_Fall,2013_Spring,2013_Summer,2013_Winter,2014_Fall,2014_Spring,2014_Summer,2014_Winter,2015_Fall,2015_Spring,2015_Summer,2015_Winter,2016_Spring,2016_Winter,Cluster
JetBlue Airways ,6507642,24720.94379844961,20880.8,222,214,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113553,36376,131675,34604,84753,115646,135609,91006,117675,101469,145672,86724,144987,160772,167227,147082,145250,162882,171770,136082,171465,164570,202082,141720,141755,148682,162577,143700,142785,156332,179262,153522,195395,186032,219825,175250,53972,104615,1
KLM Royal Dutch Airlines,2379228,9221.813953488372,9562.0,258,258,0,0,0,0,0,0,0,0,52216,39112,14561,47763,49473,49192,40641,65581,64057,73131,43819,63806,62598,75500,46260,58509,58754,73936,35779,57995,52744,65065,37364,58100,57917,68708,35486,57402,59144,72567,32198,56702,57577,72520,33388,57114,60398,71705,34196,59538,57823,69462,38484,16127,24816,0
Korean Air Lines,1465043,5678.461240310077,5793.0,258,258,0,0,0,0,0,0,0,0,24642,27819,9575,24562,30764,40761,28746,24537,25853,33333,23729,24134,22763,36622,25795,24686,22905,35257,29309,32638,24029,44934,24727,34135,30773,39548,29013,38491,35633,46772,38179,36752,38170,44930,37037,37634,35879,44913,37119,39897,38429,44235,43223,15556,36605,0
LAN Peru,250741,2786.011111111111,2787.0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17743,0,12494,6234,12750,18145,16606,19257,17546,16717,15977,16213,15625,17736,17050,15001,0,5464,0,10183,0,0,0,0,0,0,0
Lufthansa German Airlines,4963775,19314.29961089494,18663.0,257,0,30,0,0,0,0,0,0,0,112762,86293,29645,118685,114095,127715,93511,107154,112656,110659,103657,104386,105183,110140,97545,107779,102498,115304,95131,106563,98182,112690,89879,121945,111728,146729,94686,133093,127951,146809,94761,125855,129504,148812,79547,137423,116902,148717,101701,124889,134584,140880,115769,43685,75693,1
Mesa Airlines,432959,3732.405172413793,3014.0,116,0,0,0,0,0,0,0,0,0,9411,10442,2796,266,8019,2069,3723,5680,7280,7104,3357,0,0,0,0,0,0,0,4587,52473,66437,57979,23195,17191,29154,30842,16927,0,0,0,0,0,0,0,0,27259,0,0,7870,0,19892,0,19006,0,0,0
Mesaba Airlines,126048,2864.7272727272725,1789.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12440,908,6623,12447,16501,3720,8249,1370,21108,42682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexicana Airlines,991232,7993.806451612903,7751.0,124,0,30,0,0,0,0,0,0,0,34536,28698,16340,34836,44610,49851,42674,36917,38749,44405,37007,45346,45196,48064,49210,52732,57151,61209,60567,0,60656,60831,41647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Air International,1718,107.375,85.5,16,16,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,333,0,64,0,0,386,203,0,0,108,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
Midwest Airlines,448368,3898.852173913043,2908.0,115,0,0,0,0,0,0,0,0,0,14363,9969,4293,23852,24122,43174,13888,33628,28693,61657,15928,10998,24399,43871,16313,14290,16353,17117,12069,0,12550,0,6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Airlines,6266220,24720.94379844961,7235.5,240,112,0,0,0,0,0,0,0,0,138332,103602,40850,128787,134482,164877,115395,149582,150240,169467,129902,154947,158225,192195,145727,158135,157095,192195,151417,0,0,0,84173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pacific Aviation,160,160.0,160.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
